"","ufn","tot"
"1","U1000",17
"2","U1014",49
"3","U1018",61
"4","U1019",17
"5","U1020",80
"6","U1042",50
"7","U1044",55
"8","U1239",322
"9","U1244",44
"10","U1245",163
"11","U1246",90
"12","U1256",14
"13","U1257",409
"14","U1268",717
"15","U1269",781
"16","U1278",583
"17","U1279",386
"18","U1293",133
"19","U219",468
"20","U220",1570
"21","U222",11
"22","U242",113
"23","U244",894
"24","U266",186
"25","U267",66
"26","U275",79
"27","U276",280
"28","U277",120
"29","U498",270
"30","U500",341
"31","U501",124
"32","U502",15
"33","U511",371
"34","U759",82
"35","U760",220
"36","U817",341
"37","U818",152
"38","U819",71
"39","U931",397
"40","U932",220
"41","U933",161
"42","U934",194
"43","U935",279
"44","U947",20
"45","U948",12
"46","U949",45
"47","U969",49
"48","U970",13
"49","U983",11
"50","U984",12
"51","U991",12
